bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,content
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,9781593080273,eng,803,9564,726,7/1/2003,Barnes & Noble Classics,Anna Karenina Leo Tolstoy/Amy Mandelker/Constance Garnett Barnes & Noble Classics eng
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,0486437965,9780486437965,eng,752,474,72,11/23/2004,Dover Publications,Anna Karenina Leo Tolstoy/Louise Maude/Aylmer Maude Dover Publications eng
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,9781593081775,eng,803,303,48,8/26/2004,Barnes & Noble,Anna Karenina Leo Tolstoy/Constance Garnett/Amy Mandelker Barnes & Noble eng
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,0778322270,9780778322276,eng,360,411,65,1/28/2006,Mira Books,Dinner with Anna Karenina Gloria Goldreich Mira Books eng
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,0521313252,9780521313254,eng,128,1204,33,11/26/1987,Cambridge University Press,Tolstoy: Anna Karenina Anthony Thorlby Cambridge University Press eng
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,0140183957,9780140183955,eng,160,3429,279,7/3/1990,Penguin Books,Untouchable Mulk Raj Anand/E.M. Forster Penguin Books eng
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,1568491980,9781568491981,eng,256,613,31,2/1/1996,Buccaneer Books,The Untouchables Eliot Ness/Oscar Fraley Buccaneer Books eng
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,0743270797,9780743270793,eng,320,308,40,9/27/2005,Scribner,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India Narendra Jadhav Scribner eng
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,0932863051,9780932863058,eng,100,10,0,1/28/1995,Clarity Press,Dalit: The Black Untaouchables of India V.T. Rajshekar/Y.N. Kly Clarity Press eng
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,0742508803,9780742508804,eng,224,16,4,12/20/2000,Rowman & Littlefield Publishers,Growing Up Untouchable in India: A Dalit Autobiography Vasant Moon/Gail Omvedt/Eleanor Zelliot Rowman & Littlefield Publishers eng
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,0205358624,9780205358625,eng,216,10,0,9/22/2003,Pearson,The Evidence-Based Social Work Skills Book Barry R. Cournoyer Pearson eng
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.0,1557344035,9781557344038,eng,48,17,0,9/28/1991,Teacher Created Resources,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom John Carratello/Patty Carratello/Theresa Wright Teacher Created Resources eng"
180,Wrinkles in Time,George Smoot/Keay Davidson,4.01,0380720442,9780380720446,eng,360,1035,23,10/1/1994,Harper Perennial,Wrinkles in Time George Smoot/Keay Davidson Harper Perennial eng
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,0821925326,9780821925324,eng,250,36,6,5/1/2002,EMC/Paradigm Publishing,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1) Madeleine L'Engle EMC/Paradigm Publishing eng
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,043927169X,9780439271691,eng,32,15,0,1/1/2002,Teaching Resources,Literature Circle Guide: A Wrinkle in Time Tara MacCarthy Teaching Resources eng
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,0751506435,9780751506433,eng,367,376,17,6/1/1994,Little  Brown Book Group,The Long Shadow (The Morland Dynasty  #6) Cynthia Harrod-Eagles Little  Brown Book Group eng
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9780060786717,eng,352,3086,237,1/3/2006,William Morrow,A Long Shadow (Inspector Ian Rutledge  #8) Charles Todd William Morrow eng
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,0743499344,9780743499347,eng,320,352,44,11/1/2005,Atria Books,Long Way Round: Chasing Shadows Across the World Ewan McGregor/Charley Boorman/Robert Uhlig Atria Books eng
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,0765313405,9780765313409,eng,331,9852,633,3/7/2006,Tor Books,A Shadow in Summer (Long Price Quartet  #1) Daniel Abraham Tor Books eng
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,1400032490,9781400032495,eng,244,821,78,8/10/2004,Vintage Crime/Black Lizard,New Hope for the Dead (Hoke Mosely #2) Charles Willeford/James Lee Burke Vintage Crime/Black Lizard eng
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,1400032482,9781400032488,eng,215,731,72,3/8/2005,Vintage Crime/Black Lizard,Sideswipe: A Hoke Moseley Novel Charles Willeford/Lawrence Block Vintage Crime/Black Lizard eng
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,1400032466,9781400032464,eng,191,2897,178,8/10/2004,Vintage Crime/Black Lizard,Miami Blues (Hoke Moseley #1) Charles Willeford/Elmore Leonard Vintage Crime/Black Lizard eng
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,0679732527,9780679732525,eng,144,98,11,10/3/1990,Vintage,The Burnt Orange Heresy (Vintage Crime/Black Lizard) Charles Willeford Vintage eng
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,0806930772,9780806930770,eng,48,66,19,10/1/2001,Sterling,Poetry for Young People: Edward Lear Edward Lear/Laura Huliska-Beith/Edward Mendelson Sterling eng
